Year,Geography,Age at time of death,Sex,Causes of death,Value
2015,Canada,45 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2015,Canada,45 to 54 years,Males,Diabetes mellitus,2.9
2015,Canada,45 to 54 years,Males,Diseases of heart,18.8
2015,Canada,45 to 54 years,Males,Influenza and pneumonia,1
2015,Canada,45 to 54 years,Males,Acute bronchitis and bronchiolitis,0
2015,Canada,45 to 54 years,Males,Chronic lower respiratory diseases,1.4
2015,Canada,45 to 54 years,Females,Malignant neoplasms,48.5
2015,Canada,45 to 54 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,Canada,45 to 54 years,Females,Diabetes mellitus,2.1
2015,Canada,45 to 54 years,Females,Diseases of heart,8.7
2015,Canada,45 to 54 years,Females,Influenza and pneumonia,1.4
2015,Canada,45 to 54 years,Females,Acute bronchitis and bronchiolitis,0
2015,Canada,45 to 54 years,Females,Chronic lower respiratory diseases,2
2015,Canada,55 to 64 years,Both sexes,Malignant neoplasms,45.4
2015,Canada,55 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,55 to 64 years,Both sexes,Diabetes mellitus,2.8
2015,Canada,55 to 64 years,Both sexes,Diseases of heart,16.8
2015,Canada,55 to 64 years,Both sexes,Influenza and pneumonia,1.2
2015,Canada,55 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0
2015,Canada,55 to 64 years,Both sexes,Chronic lower respiratory diseases,3.3
2015,Canada,55 to 64 years,Males,Malignant neoplasms,39.6
2015,Canada,55 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2015,Canada,55 to 64 years,Males,Diabetes mellitus,3.1
2015,Canada,55 to 64 years,Males,Diseases of heart,20.6
2015,Canada,55 to 64 years,Males,Influenza and pneumonia,1
2015,Canada,55 to 64 years,Males,Acute bronchitis and bronchiolitis,0
2015,Canada,55 to 64 years,Males,Chronic lower respiratory diseases,3.1
2015,Canada,55 to 64 years,Females,Malignant neoplasms,54.3
2015,Canada,55 to 64 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,Canada,55 to 64 years,Females,Diabetes mellitus,2.4
2015,Canada,55 to 64 years,Females,Diseases of heart,11
2015,Canada,55 to 64 years,Females,Influenza and pneumonia,1.4
2015,Canada,55 to 64 years,Females,Acute bronchitis and bronchiolitis,0
2015,Canada,55 to 64 years,Females,Chronic lower respiratory diseases,3.6
2015,Canada,65 to 74 years,Both sexes,Malignant neoplasms,44.3
2015,Canada,65 to 74 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,Canada,65 to 74 years,Both sexes,Diabetes mellitus,3.4
2015,Canada,65 to 74 years,Both sexes,Diseases of heart,17.4
2015,Canada,65 to 74 years,Both sexes,Influenza and pneumonia,1.5
2015,Canada,65 to 74 years,Both sexes,Acute bronchitis and bronchiolitis,0
2015,Canada,65 to 74 years,Both sexes,Chronic lower respiratory diseases,5.6
2015,Canada,65 to 74 years,Males,Malignant neoplasms,41.8
2015,Canada,65 to 74 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,Canada,65 to 74 years,Males,Diabetes mellitus,3.7
2015,Canada,65 to 74 years,Males,Diseases of heart,20.1
2015,Canada,65 to 74 years,Males,Influenza and pneumonia,1.5
2015,Canada,65 to 74 years,Males,Acute bronchitis and bronchiolitis,0
2015,Canada,65 to 74 years,Males,Chronic lower respiratory diseases,5
2015,Canada,65 to 74 years,Females,Malignant neoplasms,47.8
2015,Canada,65 to 74 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,Canada,65 to 74 years,Females,Diabetes mellitus,2.8
2015,Canada,65 to 74 years,Females,Diseases of heart,13.6
2015,Canada,65 to 74 years,Females,Influenza and pneumonia,1.5
2015,Canada,65 to 74 years,Females,Acute bronchitis and bronchiolitis,0
2015,Canada,65 to 74 years,Females,Chronic lower respiratory diseases,6.5
2015,Canada,75 to 84 years,Both sexes,Malignant neoplasms,32.1
2015,Canada,75 to 84 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2015,Canada,75 to 84 years,Both sexes,Diabetes mellitus,3.1
2015,Canada,75 to 84 years,Both sexes,Diseases of heart,19.2
2015,Canada,75 to 84 years,Both sexes,Influenza and pneumonia,2.6
2015,Canada,75 to 84 years,Both sexes,Acute bronchitis and bronchiolitis,0
2015,Canada,75 to 84 years,Both sexes,Chronic lower respiratory diseases,6.2
2015,Canada,75 to 84 years,Males,Malignant neoplasms,32.9
2015,Canada,75 to 84 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.9
2015,Canada,75 to 84 years,Males,Diabetes mellitus,3.1
2015,Canada,75 to 84 years,Males,Diseases of heart,20.5
2015,Canada,75 to 84 years,Males,Influenza and pneumonia,2.5
2015,Canada,75 to 84 years,Males,Acute bronchitis and bronchiolitis,0
2015,Canada,75 to 84 years,Males,Chronic lower respiratory diseases,5.8
2015,Canada,75 to 84 years,Females,Malignant neoplasms,31.2
2015,Canada,75 to 84 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2015,Canada,75 to 84 years,Females,Diabetes mellitus,2.9
2015,Canada,75 to 84 years,Females,Diseases of heart,17.8
2015,Canada,75 to 84 years,Females,Influenza and pneumonia,2.6
2015,Canada,75 to 84 years,Females,Acute bronchitis and bronchiolitis,0
2015,Canada,75 to 84 years,Females,Chronic lower respiratory diseases,6.6
2015,Canada,85 and over,Both sexes,Malignant neoplasms,15.8
2015,Canada,85 and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,Canada,85 and over,Both sexes,Diabetes mellitus,2.3
2015,Canada,85 and over,Both sexes,Diseases of heart,23.9
2015,Canada,85 and over,Both sexes,Influenza and pneumonia,4.8
2015,Canada,85 and over,Both sexes,Acute bronchitis and bronchiolitis,0
2015,Canada,85 and over,Both sexes,Chronic lower respiratory diseases,4.8
2015,Canada,85 and over,Males,Malignant neoplasms,19.7
2015,Canada,85 and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2015,Canada,85 and over,Males,Diabetes mellitus,2.5
2015,Canada,85 and over,Males,Diseases of heart,24
2015,Canada,85 and over,Males,Influenza and pneumonia,4.7
2015,Canada,85 and over,Males,Acute bronchitis and bronchiolitis,0
2015,Canada,85 and over,Males,Chronic lower respiratory diseases,5.7
2015,Canada,85 and over,Females,Malignant neoplasms,13.4
2015,Canada,85 and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2015,Canada,85 and over,Females,Diabetes mellitus,2.2
2015,Canada,85 and over,Females,Diseases of heart,23.9
2015,Canada,85 and over,Females,Influenza and pneumonia,4.8
2015,Canada,85 and over,Females,Acute bronchitis and bronchiolitis,0
2015,Canada,85 and over,Females,Chronic lower respiratory diseases,4.2
2016,Canada,30 to 34 years,Both sexes,Malignant neoplasms,11.9
2016,Canada,30 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2016,Canada,30 to 34 years,Both sexes,Diabetes mellitus,1.4
2016,Canada,30 to 34 years,Both sexes,Diseases of heart,5
2016,Canada,30 to 34 years,Both sexes,Influenza and pneumonia,0.7
2016,Canada,30 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0
2016,Canada,30 to 34 years,Both sexes,Chronic lower respiratory diseases,0.5
2016,Canada,30 to 34 years,Males,Malignant neoplasms,7.4
2016,Canada,30 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,30 to 34 years,Males,Diabetes mellitus,1.6
2016,Canada,30 to 34 years,Males,Diseases of heart,5.3
2016,Canada,30 to 34 years,Males,Influenza and pneumonia,0.5
2016,Canada,30 to 34 years,Males,Acute bronchitis and bronchiolitis,0
2016,Canada,30 to 34 years,Males,Chronic lower respiratory diseases,0.4
2016,Canada,30 to 34 years,Females,Malignant neoplasms,21.4
2016,Canada,30 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2016,Canada,30 to 34 years,Females,Diabetes mellitus,1.2
2016,Canada,30 to 34 years,Females,Diseases of heart,4.5
2016,Canada,30 to 34 years,Females,Influenza and pneumonia,1.2
2016,Canada,30 to 34 years,Females,Acute bronchitis and bronchiolitis,0
2016,Canada,30 to 34 years,Females,Chronic lower respiratory diseases,0.7
2016,Canada,35 to 44 years,Both sexes,Malignant neoplasms,23.1
2016,Canada,35 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,35 to 44 years,Both sexes,Diabetes mellitus,1.8
2016,Canada,35 to 44 years,Both sexes,Diseases of heart,9.1
2016,Canada,35 to 44 years,Both sexes,Influenza and pneumonia,1.4
2016,Canada,35 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0
2016,Canada,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.4
2016,Canada,35 to 44 years,Males,Malignant neoplasms,15.5
2016,Canada,35 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2016,Canada,35 to 44 years,Males,Diabetes mellitus,1.8
2016,Canada,35 to 44 years,Males,Diseases of heart,10.4
2016,Canada,35 to 44 years,Males,Influenza and pneumonia,1.1
2016,Canada,35 to 44 years,Males,Acute bronchitis and bronchiolitis,0
2016,Canada,35 to 44 years,Males,Chronic lower respiratory diseases,0.2
2016,Canada,35 to 44 years,Females,Malignant neoplasms,35.5
2016,Canada,35 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,35 to 44 years,Females,Diabetes mellitus,1.9
2016,Canada,35 to 44 years,Females,Diseases of heart,6.9
2016,Canada,35 to 44 years,Females,Influenza and pneumonia,1.9
2016,Canada,35 to 44 years,Females,Acute bronchitis and bronchiolitis,0
2016,Canada,35 to 44 years,Females,Chronic lower respiratory diseases,0.7
2016,Canada,45 to 54 years,Both sexes,Malignant neoplasms,34.5
2016,Canada,45 to 54 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,45 to 54 years,Both sexes,Diabetes mellitus,2.5
2016,Canada,45 to 54 years,Both sexes,Diseases of heart,14.7
2016,Canada,45 to 54 years,Both sexes,Influenza and pneumonia,1.4
2016,Canada,45 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0
2016,Canada,45 to 54 years,Both sexes,Chronic lower respiratory diseases,1.3
2016,Canada,45 to 54 years,Males,Malignant neoplasms,26
2016,Canada,45 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,45 to 54 years,Males,Diabetes mellitus,2.8
2016,Canada,45 to 54 years,Males,Diseases of heart,18.6
2016,Canada,45 to 54 years,Males,Influenza and pneumonia,1.4
2016,Canada,45 to 54 years,Males,Acute bronchitis and bronchiolitis,0
2016,Canada,45 to 54 years,Males,Chronic lower respiratory diseases,1
2016,Canada,45 to 54 years,Females,Malignant neoplasms,47.1
2016,Canada,45 to 54 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2016,Canada,45 to 54 years,Females,Diabetes mellitus,2
2016,Canada,45 to 54 years,Females,Diseases of heart,8.9
2016,Canada,45 to 54 years,Females,Influenza and pneumonia,1.5
2016,Canada,45 to 54 years,Females,Acute bronchitis and bronchiolitis,0
2016,Canada,45 to 54 years,Females,Chronic lower respiratory diseases,1.6
2016,Canada,55 to 64 years,Both sexes,Malignant neoplasms,44.1
2016,Canada,55 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2016,Canada,55 to 64 years,Both sexes,Diabetes mellitus,2.6
2016,Canada,55 to 64 years,Both sexes,Diseases of heart,16.8
2016,Canada,55 to 64 years,Both sexes,Influenza and pneumonia,1.4
2016,Canada,55 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0
2016,Canada,55 to 64 years,Both sexes,Chronic lower respiratory diseases,3.2
2016,Canada,55 to 64 years,Males,Malignant neoplasms,38.5
2016,Canada,55 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2016,Canada,55 to 64 years,Males,Diabetes mellitus,2.9
2016,Canada,55 to 64 years,Males,Diseases of heart,20.8
2016,Canada,55 to 64 years,Males,Influenza and pneumonia,1.4
2016,Canada,55 to 64 years,Males,Acute bronchitis and bronchiolitis,0
2016,Canada,55 to 64 years,Males,Chronic lower respiratory diseases,3
2016,Canada,55 to 64 years,Females,Malignant neoplasms,52.8
2016,Canada,55 to 64 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,55 to 64 years,Females,Diabetes mellitus,2.3
2016,Canada,55 to 64 years,Females,Diseases of heart,10.7
2016,Canada,55 to 64 years,Females,Influenza and pneumonia,1.4
2016,Canada,55 to 64 years,Females,Acute bronchitis and bronchiolitis,0
2016,Canada,55 to 64 years,Females,Chronic lower respiratory diseases,3.7
2016,Canada,65 to 74 years,Both sexes,Malignant neoplasms,44.5
2016,Canada,65 to 74 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,65 to 74 years,Both sexes,Diabetes mellitus,3.1
2016,Canada,65 to 74 years,Both sexes,Diseases of heart,17.2
2016,Canada,65 to 74 years,Both sexes,Influenza and pneumonia,1.4
2016,Canada,65 to 74 years,Both sexes,Acute bronchitis and bronchiolitis,0
2016,Canada,65 to 74 years,Both sexes,Chronic lower respiratory diseases,5.5
2016,Canada,65 to 74 years,Males,Malignant neoplasms,41.7
2016,Canada,65 to 74 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,65 to 74 years,Males,Diabetes mellitus,3.3
2016,Canada,65 to 74 years,Males,Diseases of heart,19.7
2016,Canada,65 to 74 years,Males,Influenza and pneumonia,1.4
2016,Canada,65 to 74 years,Males,Acute bronchitis and bronchiolitis,0
2016,Canada,65 to 74 years,Males,Chronic lower respiratory diseases,5
2016,Canada,65 to 74 years,Females,Malignant neoplasms,48.3
2016,Canada,65 to 74 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,65 to 74 years,Females,Diabetes mellitus,2.7
2016,Canada,65 to 74 years,Females,Diseases of heart,13.6
2016,Canada,65 to 74 years,Females,Influenza and pneumonia,1.4
2016,Canada,65 to 74 years,Females,Acute bronchitis and bronchiolitis,0
2016,Canada,65 to 74 years,Females,Chronic lower respiratory diseases,6.2
2016,Canada,75 to 84 years,Both sexes,Malignant neoplasms,33.3
2016,Canada,75 to 84 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2016,Canada,75 to 84 years,Both sexes,Diabetes mellitus,2.9
2016,Canada,75 to 84 years,Both sexes,Diseases of heart,19.2
2016,Canada,75 to 84 years,Both sexes,Influenza and pneumonia,2
2016,Canada,75 to 84 years,Both sexes,Acute bronchitis and bronchiolitis,0
2016,Canada,75 to 84 years,Both sexes,Chronic lower respiratory diseases,6.1
2016,Canada,75 to 84 years,Males,Malignant neoplasms,34
2016,Canada,75 to 84 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2016,Canada,75 to 84 years,Males,Diabetes mellitus,2.9
2016,Canada,75 to 84 years,Males,Diseases of heart,20.6
2016,Canada,75 to 84 years,Males,Influenza and pneumonia,2
2016,Canada,75 to 84 years,Males,Acute bronchitis and bronchiolitis,0
2016,Canada,75 to 84 years,Males,Chronic lower respiratory diseases,5.7
2016,Canada,75 to 84 years,Females,Malignant neoplasms,32.4
2016,Canada,75 to 84 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.7
2016,Canada,75 to 84 years,Females,Diabetes mellitus,2.8
2016,Canada,75 to 84 years,Females,Diseases of heart,17.6
2016,Canada,75 to 84 years,Females,Influenza and pneumonia,2
2016,Canada,75 to 84 years,Females,Acute bronchitis and bronchiolitis,0
2016,Canada,75 to 84 years,Females,Chronic lower respiratory diseases,6.5
2016,Canada,85 and over,Both sexes,Malignant neoplasms,16.8
2016,Canada,85 and over,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,85 and over,Both sexes,Diabetes mellitus,2.3
2016,Canada,85 and over,Both sexes,Diseases of heart,23.5
2016,Canada,85 and over,Both sexes,Influenza and pneumonia,3.6
2016,Canada,85 and over,Both sexes,Acute bronchitis and bronchiolitis,0
2016,Canada,85 and over,Both sexes,Chronic lower respiratory diseases,4.5
2016,Canada,85 and over,Males,Malignant neoplasms,20.6
2016,Canada,85 and over,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.8
2016,Canada,85 and over,Males,Diabetes mellitus,2.3
2016,Canada,85 and over,Males,Diseases of heart,23.5
2016,Canada,85 and over,Males,Influenza and pneumonia,3.7
2016,Canada,85 and over,Males,Acute bronchitis and bronchiolitis,0
2016,Canada,85 and over,Males,Chronic lower respiratory diseases,5.4
2016,Canada,85 and over,Females,Malignant neoplasms,14.3
2016,Canada,85 and over,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.6
2016,Canada,85 and over,Females,Diabetes mellitus,2.2
2016,Canada,85 and over,Females,Diseases of heart,23.4
2016,Canada,85 and over,Females,Influenza and pneumonia,3.5
2016,Canada,85 and over,Females,Acute bronchitis and bronchiolitis,0
2016,Canada,85 and over,Females,Chronic lower respiratory diseases,4
2017,Canada,30 to 34 years,Both sexes,Malignant neoplasms,10.7
2017,Canada,30 to 34 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.2
2017,Canada,30 to 34 years,Both sexes,Diabetes mellitus,1.6
2017,Canada,30 to 34 years,Both sexes,Diseases of heart,4.8
2017,Canada,30 to 34 years,Both sexes,Influenza and pneumonia,0.6
2017,Canada,30 to 34 years,Both sexes,Acute bronchitis and bronchiolitis,0
2017,Canada,30 to 34 years,Both sexes,Chronic lower respiratory diseases,0.4
2017,Canada,30 to 34 years,Males,Malignant neoplasms,7.4
2017,Canada,30 to 34 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.1
2017,Canada,30 to 34 years,Males,Diabetes mellitus,1.3
2017,Canada,30 to 34 years,Males,Diseases of heart,4.6
2017,Canada,30 to 34 years,Males,Influenza and pneumonia,0.5
2017,Canada,30 to 34 years,Males,Acute bronchitis and bronchiolitis,0
2017,Canada,30 to 34 years,Males,Chronic lower respiratory diseases,0.3
2017,Canada,30 to 34 years,Females,Malignant neoplasms,18.2
2017,Canada,30 to 34 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,Canada,30 to 34 years,Females,Diabetes mellitus,2.4
2017,Canada,30 to 34 years,Females,Diseases of heart,5.2
2017,Canada,30 to 34 years,Females,Influenza and pneumonia,0.9
2017,Canada,30 to 34 years,Females,Acute bronchitis and bronchiolitis,0
2017,Canada,30 to 34 years,Females,Chronic lower respiratory diseases,0.8
2017,Canada,35 to 44 years,Both sexes,Malignant neoplasms,21.5
2017,Canada,35 to 44 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2017,Canada,35 to 44 years,Both sexes,Diabetes mellitus,1.8
2017,Canada,35 to 44 years,Both sexes,Diseases of heart,8.9
2017,Canada,35 to 44 years,Both sexes,Influenza and pneumonia,0.8
2017,Canada,35 to 44 years,Both sexes,Acute bronchitis and bronchiolitis,0
2017,Canada,35 to 44 years,Both sexes,Chronic lower respiratory diseases,0.3
2017,Canada,35 to 44 years,Males,Malignant neoplasms,13.9
2017,Canada,35 to 44 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2017,Canada,35 to 44 years,Males,Diabetes mellitus,1.8
2017,Canada,35 to 44 years,Males,Diseases of heart,10.1
2017,Canada,35 to 44 years,Males,Influenza and pneumonia,0.7
2017,Canada,35 to 44 years,Males,Acute bronchitis and bronchiolitis,0
2017,Canada,35 to 44 years,Males,Chronic lower respiratory diseases,0.3
2017,Canada,35 to 44 years,Females,Malignant neoplasms,35.4
2017,Canada,35 to 44 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,Canada,35 to 44 years,Females,Diabetes mellitus,1.9
2017,Canada,35 to 44 years,Females,Diseases of heart,6.6
2017,Canada,35 to 44 years,Females,Influenza and pneumonia,1
2017,Canada,35 to 44 years,Females,Acute bronchitis and bronchiolitis,0
2017,Canada,35 to 44 years,Females,Chronic lower respiratory diseases,0.3
2017,Canada,45 to 54 years,Both sexes,Malignant neoplasms,34.7
2017,Canada,45 to 54 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2017,Canada,45 to 54 years,Both sexes,Diabetes mellitus,2.5
2017,Canada,45 to 54 years,Both sexes,Diseases of heart,14
2017,Canada,45 to 54 years,Both sexes,Influenza and pneumonia,1.2
2017,Canada,45 to 54 years,Both sexes,Acute bronchitis and bronchiolitis,0
2017,Canada,45 to 54 years,Both sexes,Chronic lower respiratory diseases,1.6
2017,Canada,45 to 54 years,Males,Malignant neoplasms,27.1
2017,Canada,45 to 54 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.3
2017,Canada,45 to 54 years,Males,Diabetes mellitus,2.7
2017,Canada,45 to 54 years,Males,Diseases of heart,17.9
2017,Canada,45 to 54 years,Males,Influenza and pneumonia,1.1
2017,Canada,45 to 54 years,Males,Acute bronchitis and bronchiolitis,0
2017,Canada,45 to 54 years,Males,Chronic lower respiratory diseases,1.4
2017,Canada,45 to 54 years,Females,Malignant neoplasms,46.5
2017,Canada,45 to 54 years,Females,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,Canada,45 to 54 years,Females,Diabetes mellitus,2.2
2017,Canada,45 to 54 years,Females,Diseases of heart,8.1
2017,Canada,45 to 54 years,Females,Influenza and pneumonia,1.3
2017,Canada,45 to 54 years,Females,Acute bronchitis and bronchiolitis,0
2017,Canada,45 to 54 years,Females,Chronic lower respiratory diseases,1.8
2017,Canada,55 to 64 years,Both sexes,Malignant neoplasms,44.3
2017,Canada,55 to 64 years,Both sexes,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.5
2017,Canada,55 to 64 years,Both sexes,Diabetes mellitus,2.8
2017,Canada,55 to 64 years,Both sexes,Diseases of heart,16.8
2017,Canada,55 to 64 years,Both sexes,Influenza and pneumonia,1.2
2017,Canada,55 to 64 years,Both sexes,Acute bronchitis and bronchiolitis,0
2017,Canada,55 to 64 years,Both sexes,Chronic lower respiratory diseases,3.3
2017,Canada,55 to 64 years,Males,Malignant neoplasms,38.9
2017,Canada,55 to 64 years,Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour",0.4
2017,Canada,55 to 64 years,Males,Diabetes mellitus,3.1
2017,Canada,55 to 64 years,Males,Diseases of heart,20.8
2017,Canada,55 to 64 years,Males,Influenza and pneumonia,1.1
2017,Canada,55 to 64 years,Males,Acute bronchitis and bronchiolitis,0
2017,Canada,55 to 64 years,Males,Chronic lower respiratory diseases,2.9
