Year,Geography,Gender,Indigenous identity,GeoCode,Value
2014,Northwest Territories,Male,Indigenous identity,,17.71
2014,Northwest Territories,Male,Non-Indigenous identity,,0
2014,Northwest Territories,Female,Total,,4.65
2014,Northwest Territories,Female,Indigenous identity,,8.84
2014,Northwest Territories,Female,Non-Indigenous identity,,0
2014,Nunavut,All genders,Total,62,11.17
2014,Nunavut,All genders,Indigenous identity,,13.01
2014,Nunavut,All genders,Non-Indigenous identity,,0
2014,Nunavut,Male,Total,,10.85
2014,Nunavut,Male,Indigenous identity,,12.78
2014,Nunavut,Male,Non-Indigenous identity,,0
2014,Nunavut,Female,Total,,11.51
2014,Nunavut,Female,Indigenous identity,,13.25
2014,Nunavut,Female,Non-Indigenous identity,,0
2015,Canada,All genders,Indigenous identity,,8.62
2015,Canada,All genders,Non-Indigenous identity,,1.34
2015,Canada,Male,Total,,2.44
2015,Canada,Male,Indigenous identity,,12.49
2015,Canada,Male,Non-Indigenous identity,,1.9
2015,Canada,Female,Total,,0.99
2015,Canada,Female,Indigenous identity,,4.87
2015,Canada,Female,Non-Indigenous identity,,0.78
2015,Newfoundland and Labrador,All genders,Total,10,0.57
2015,Newfoundland and Labrador,All genders,Indigenous identity,,2.2
2015,Newfoundland and Labrador,All genders,Non-Indigenous identity,,0.41
2015,Newfoundland and Labrador,Male,Total,,0.76
2015,Newfoundland and Labrador,Male,Indigenous identity,,0
2015,Newfoundland and Labrador,Male,Non-Indigenous identity,,0.83
2015,Newfoundland and Labrador,Female,Total,,0.37
2015,Newfoundland and Labrador,Female,Indigenous identity,,4.33
2015,Newfoundland and Labrador,Female,Non-Indigenous identity,,0
2015,Prince Edward Island,All genders,Total,11,0.69
2015,Prince Edward Island,All genders,Indigenous identity,,0
2015,Prince Edward Island,All genders,Non-Indigenous identity,,0.7
2015,Prince Edward Island,Male,Total,,0
2015,Prince Edward Island,Male,Indigenous identity,,0
2015,Prince Edward Island,Male,Non-Indigenous identity,,0
2015,Prince Edward Island,Female,Total,,1.34
2015,Prince Edward Island,Female,Indigenous identity,,0
2015,Prince Edward Island,Female,Non-Indigenous identity,,1.36
2015,Nova Scotia,All genders,Total,12,1.27
2015,Nova Scotia,All genders,Indigenous identity,,1.98
2015,Nova Scotia,All genders,Non-Indigenous identity,,1.12
2015,Nova Scotia,Male,Total,,1.52
2015,Nova Scotia,Male,Indigenous identity,,4.04
2015,Nova Scotia,Male,Non-Indigenous identity,,1.38
2015,Nova Scotia,Female,Total,,1.04
2015,Nova Scotia,Female,Indigenous identity,,0
2015,Nova Scotia,Female,Non-Indigenous identity,,0.88
2015,New Brunswick,All genders,Total,13,1.44
2015,New Brunswick,All genders,Indigenous identity,,0
2015,New Brunswick,All genders,Non-Indigenous identity,,1.5
2015,New Brunswick,Male,Total,,1.59
2015,New Brunswick,Male,Indigenous identity,,0
2015,New Brunswick,Male,Non-Indigenous identity,,1.66
2015,New Brunswick,Female,Total,,1.3
2015,New Brunswick,Female,Indigenous identity,,0
2015,New Brunswick,Female,Non-Indigenous identity,,1.35
2015,Quebec,All genders,Total,24,0.97
2015,Quebec,All genders,Indigenous identity,,3.09
2015,Quebec,All genders,Non-Indigenous identity,,0.91
2015,Quebec,Male,Total,,1.48
2015,Quebec,Male,Indigenous identity,,4.06
2015,Quebec,Male,Non-Indigenous identity,,1.41
2015,Quebec,Female,Total,,0.46
2015,Quebec,Female,Indigenous identity,,2.09
2015,Quebec,Female,Non-Indigenous identity,,0.42
2015,Ontario,All genders,Total,35,1.27
2015,Ontario,All genders,Indigenous identity,,3.33
2015,Ontario,All genders,Non-Indigenous identity,,1.18
2015,Ontario,Male,Total,,1.83
2015,Ontario,Male,Indigenous identity,,5.25
2015,Ontario,Male,Non-Indigenous identity,,1.69
2015,Ontario,Female,Total,,0.72
2015,Ontario,Female,Indigenous identity,,1.5
2015,Ontario,Female,Non-Indigenous identity,,0.68
2015,Manitoba,All genders,Total,46,3.7
2015,Manitoba,All genders,Indigenous identity,,15.55
2015,Manitoba,All genders,Non-Indigenous identity,,1.13
2015,Manitoba,Male,Total,,5.73
2015,Manitoba,Male,Indigenous identity,,24.58
2015,Manitoba,Male,Non-Indigenous identity,,1.69
2015,Manitoba,Female,Total,,1.69
2015,Manitoba,Female,Indigenous identity,,6.81
2015,Manitoba,Female,Non-Indigenous identity,,0.56
2015,Saskatchewan,All genders,Total,47,4.01
2015,Saskatchewan,All genders,Indigenous identity,,16.46
2015,Saskatchewan,All genders,Non-Indigenous identity,,1.6
2015,Saskatchewan,Male,Total,,5.67
2015,Saskatchewan,Male,Indigenous identity,,29.02
2015,Saskatchewan,Male,Non-Indigenous identity,,1.26
2015,Saskatchewan,Female,Total,,2.33
2015,Saskatchewan,Female,Indigenous identity,,4.32
2015,Saskatchewan,Female,Non-Indigenous identity,,1.94
2015,Alberta,All genders,Total,48,3.23
2015,Alberta,All genders,Indigenous identity,,13.72
2015,Alberta,All genders,Non-Indigenous identity,,2.47
2015,Alberta,Male,Total,,4.23
2015,Alberta,Male,Indigenous identity,,15.84
2015,Alberta,Male,Non-Indigenous identity,,3.39
2015,Alberta,Female,Total,,2.21
2015,Alberta,Female,Indigenous identity,,11.67
2015,Alberta,Female,Non-Indigenous identity,,1.53
2015,British Columbia,All genders,Total,59,2.01
2015,British Columbia,All genders,Indigenous identity,,6.42
2015,British Columbia,All genders,Non-Indigenous identity,,1.73
2015,British Columbia,Male,Total,,3
2015,British Columbia,Male,Indigenous identity,,9.48
2015,British Columbia,Male,Non-Indigenous identity,,2.6
2015,British Columbia,Female,Total,,1.04
2015,British Columbia,Female,Indigenous identity,,3.49
2015,British Columbia,Female,Non-Indigenous identity,,0.88
2015,Yukon,All genders,Total,60,2.65
2015,Yukon,All genders,Indigenous identity,,0
2015,Yukon,All genders,Non-Indigenous identity,,3.46
2015,Yukon,Male,Total,,5.21
2015,Yukon,Male,Indigenous identity,,0
2015,Yukon,Male,Non-Indigenous identity,,6.71
2015,Yukon,Female,Total,,0
2015,Yukon,Female,Indigenous identity,,0
2015,Yukon,Female,Non-Indigenous identity,,0
2015,Northwest Territories,All genders,Total,61,13.48
2015,Northwest Territories,All genders,Indigenous identity,,26.53
2015,Northwest Territories,All genders,Non-Indigenous identity,,0
2015,Northwest Territories,Male,Total,,13.12
2015,Northwest Territories,Male,Indigenous identity,,26.49
2015,Northwest Territories,Male,Non-Indigenous identity,,0
2015,Northwest Territories,Female,Total,,13.86
2015,Northwest Territories,Female,Indigenous identity,,26.57
2015,Northwest Territories,Female,Non-Indigenous identity,,0
2015,Nunavut,All genders,Total,62,5.5
2015,Nunavut,All genders,Indigenous identity,,6.41
2015,Nunavut,All genders,Non-Indigenous identity,,0
2015,Nunavut,Male,Total,,5.35
2015,Nunavut,Male,Indigenous identity,,6.31
2015,Nunavut,Male,Non-Indigenous identity,,0
2015,Nunavut,Female,Total,,5.66
2015,Nunavut,Female,Indigenous identity,,6.52
2015,Nunavut,Female,Non-Indigenous identity,,0
2016,Canada,All genders,Indigenous identity,,7.96
2016,Canada,All genders,Non-Indigenous identity,,1.36
2016,Canada,Male,Total,,2.57
2016,Canada,Male,Indigenous identity,,12.76
2016,Canada,Male,Non-Indigenous identity,,2.02
2016,Canada,Female,Total,,0.85
2016,Canada,Female,Indigenous identity,,3.29
2016,Canada,Female,Non-Indigenous identity,,0.71
2016,Newfoundland and Labrador,All genders,Total,10,1.32
2016,Newfoundland and Labrador,All genders,Indigenous identity,,2.11
2016,Newfoundland and Labrador,All genders,Non-Indigenous identity,,1.25
2016,Newfoundland and Labrador,Male,Total,,1.91
2016,Newfoundland and Labrador,Male,Indigenous identity,,4.3
2016,Newfoundland and Labrador,Male,Non-Indigenous identity,,1.67
2016,Newfoundland and Labrador,Female,Total,,0.75
2016,Newfoundland and Labrador,Female,Indigenous identity,,0
2016,Newfoundland and Labrador,Female,Non-Indigenous identity,,0.82
2016,Prince Edward Island,All genders,Total,11,0
2016,Prince Edward Island,All genders,Indigenous identity,,0
2016,Prince Edward Island,All genders,Non-Indigenous identity,,0
2016,Prince Edward Island,Male,Total,,0
2016,Prince Edward Island,Male,Indigenous identity,,0
2016,Prince Edward Island,Male,Non-Indigenous identity,,0
2016,Prince Edward Island,Female,Total,,0
2016,Prince Edward Island,Female,Indigenous identity,,0
2016,Prince Edward Island,Female,Non-Indigenous identity,,0
2016,Nova Scotia,All genders,Total,12,1.38
2016,Nova Scotia,All genders,Indigenous identity,,1.85
2016,Nova Scotia,All genders,Non-Indigenous identity,,1.13
2016,Nova Scotia,Male,Total,,2.39
2016,Nova Scotia,Male,Indigenous identity,,3.78
2016,Nova Scotia,Male,Non-Indigenous identity,,1.84
2016,Nova Scotia,Female,Total,,0.42
2016,Nova Scotia,Female,Indigenous identity,,0
2016,Nova Scotia,Female,Non-Indigenous identity,,0.44
2016,New Brunswick,All genders,Total,13,1.44
2016,New Brunswick,All genders,Indigenous identity,,0
2016,New Brunswick,All genders,Non-Indigenous identity,,1.5
2016,New Brunswick,Male,Total,,2.38
2016,New Brunswick,Male,Indigenous identity,,0
2016,New Brunswick,Male,Non-Indigenous identity,,2.49
2016,New Brunswick,Female,Total,,0.52
2016,New Brunswick,Female,Indigenous identity,,0
2016,New Brunswick,Female,Non-Indigenous identity,,0.54
2016,Quebec,All genders,Total,24,0.81
2016,Quebec,All genders,Indigenous identity,,1.98
2016,Quebec,All genders,Non-Indigenous identity,,0.77
2016,Quebec,Male,Total,,1.25
2016,Quebec,Male,Indigenous identity,,3.9
2016,Quebec,Male,Non-Indigenous identity,,1.15
2016,Quebec,Female,Total,,0.39
2016,Quebec,Female,Indigenous identity,,0
2016,Quebec,Female,Non-Indigenous identity,,0.4
2016,Ontario,All genders,Total,35,1.49
2016,Ontario,All genders,Indigenous identity,,4.45
2016,Ontario,All genders,Non-Indigenous identity,,1.36
2016,Ontario,Male,Total,,2.21
2016,Ontario,Male,Indigenous identity,,8.61
2016,Ontario,Male,Non-Indigenous identity,,1.99
2016,Ontario,Female,Total,,0.78
2016,Ontario,Female,Indigenous identity,,0.48
2016,Ontario,Female,Non-Indigenous identity,,0.75
2016,Manitoba,All genders,Total,46,3.2
2016,Manitoba,All genders,Indigenous identity,,11.35
2016,Manitoba,All genders,Non-Indigenous identity,,1.4
2016,Manitoba,Male,Total,,5.04
2016,Manitoba,Male,Indigenous identity,,17.93
2016,Manitoba,Male,Non-Indigenous identity,,2.23
2016,Manitoba,Female,Total,,1.37
2016,Manitoba,Female,Indigenous identity,,4.97
2016,Manitoba,Female,Non-Indigenous identity,,0.56
2016,Saskatchewan,All genders,Total,47,4.93
2016,Saskatchewan,All genders,Indigenous identity,,20.39
2016,Saskatchewan,All genders,Non-Indigenous identity,,1.9
2016,Saskatchewan,Male,Total,,7.34
2016,Saskatchewan,Male,Indigenous identity,,31.58
2016,Saskatchewan,Male,Non-Indigenous identity,,2.71
2016,Saskatchewan,Female,Total,,2.48
2016,Saskatchewan,Female,Indigenous identity,,9.52
2016,Saskatchewan,Female,Non-Indigenous identity,,1.07
2016,Alberta,All genders,Total,48,2.76
2016,Alberta,All genders,Indigenous identity,,11.15
2016,Alberta,All genders,Non-Indigenous identity,,2.17
2016,Alberta,Male,Total,,4.1
2016,Alberta,Male,Indigenous identity,,15.38
2016,Alberta,Male,Non-Indigenous identity,,3.33
2016,Alberta,Female,Total,,1.39
2016,Alberta,Female,Indigenous identity,,7.07
2016,Alberta,Female,Non-Indigenous identity,,0.98
2016,British Columbia,All genders,Total,59,1.85
2016,British Columbia,All genders,Indigenous identity,,5.87
2016,British Columbia,All genders,Non-Indigenous identity,,1.6
2016,British Columbia,Male,Total,,2.75
2016,British Columbia,Male,Indigenous identity,,10.6
2016,British Columbia,Male,Non-Indigenous identity,,2.26
2016,British Columbia,Female,Total,,0.98
2016,British Columbia,Female,Indigenous identity,,1.35
2016,British Columbia,Female,Non-Indigenous identity,,0.96
2016,Yukon,All genders,Total,60,10.43
2016,Yukon,All genders,Indigenous identity,,22.35
2016,Yukon,All genders,Non-Indigenous identity,,6.8
2016,Yukon,Male,Total,,20.52
2016,Yukon,Male,Indigenous identity,,45.68
2016,Yukon,Male,Non-Indigenous identity,,13.23
2016,Yukon,Female,Total,,0
2016,Yukon,Female,Indigenous identity,,0
2016,Yukon,Female,Non-Indigenous identity,,0
2016,Northwest Territories,All genders,Total,61,6.71
2016,Northwest Territories,All genders,Indigenous identity,,13.26
2016,Northwest Territories,All genders,Non-Indigenous identity,,0
2016,Northwest Territories,Male,Total,,8.71
2016,Northwest Territories,Male,Indigenous identity,,17.63
2016,Northwest Territories,Male,Non-Indigenous identity,,0
2016,Northwest Territories,Female,Total,,4.6
2016,Northwest Territories,Female,Indigenous identity,,8.86
2016,Northwest Territories,Female,Non-Indigenous identity,,0
2016,Nunavut,All genders,Total,62,2.7
2016,Nunavut,All genders,Indigenous identity,,3.15
2016,Nunavut,All genders,Non-Indigenous identity,,0
2016,Nunavut,Male,Total,,0
2016,Nunavut,Male,Indigenous identity,,0
2016,Nunavut,Male,Non-Indigenous identity,,0
2016,Nunavut,Female,Total,,5.56
2016,Nunavut,Female,Indigenous identity,,6.41
2016,Nunavut,Female,Non-Indigenous identity,,0
2017,Canada,All genders,Indigenous identity,,8.48
2017,Canada,All genders,Non-Indigenous identity,,1.44
2017,Canada,Male,Total,,2.71
2017,Canada,Male,Indigenous identity,,13.04
2017,Canada,Male,Non-Indigenous identity,,2.13
2017,Canada,Female,Total,,0.94
2017,Canada,Female,Indigenous identity,,4.05
2017,Canada,Female,Non-Indigenous identity,,0.76
2017,Newfoundland and Labrador,All genders,Total,10,0.76
2017,Newfoundland and Labrador,All genders,Indigenous identity,,2.05
2017,Newfoundland and Labrador,All genders,Non-Indigenous identity,,0.63
2017,Newfoundland and Labrador,Male,Total,,0.38
2017,Newfoundland and Labrador,Male,Indigenous identity,,0
2017,Newfoundland and Labrador,Male,Non-Indigenous identity,,0.42
2017,Newfoundland and Labrador,Female,Total,,1.13
2017,Newfoundland and Labrador,Female,Indigenous identity,,4.03
2017,Newfoundland and Labrador,Female,Non-Indigenous identity,,0.83
2017,Prince Edward Island,All genders,Total,11,1.35
2017,Prince Edward Island,All genders,Indigenous identity,,0
2017,Prince Edward Island,All genders,Non-Indigenous identity,,1.37
2017,Prince Edward Island,Male,Total,,2.75
2017,Prince Edward Island,Male,Indigenous identity,,0
2017,Prince Edward Island,Male,Non-Indigenous identity,,2.81
2017,Prince Edward Island,Female,Total,,0
2017,Prince Edward Island,Female,Indigenous identity,,0
2017,Prince Edward Island,Female,Non-Indigenous identity,,0
2017,Nova Scotia,All genders,Total,12,2.22
2017,Nova Scotia,All genders,Indigenous identity,,0
2017,Nova Scotia,All genders,Non-Indigenous identity,,2.25
2017,Nova Scotia,Male,Total,,1.52
2017,Nova Scotia,Male,Indigenous identity,,0
2017,Nova Scotia,Male,Non-Indigenous identity,,1.61
2017,Nova Scotia,Female,Total,,2.9
2017,Nova Scotia,Female,Indigenous identity,,0
2017,Nova Scotia,Female,Non-Indigenous identity,,2.87
2017,New Brunswick,All genders,Total,13,1.31
2017,New Brunswick,All genders,Indigenous identity,,0
2017,New Brunswick,All genders,Non-Indigenous identity,,1.37
2017,New Brunswick,Male,Total,,1.85
2017,New Brunswick,Male,Indigenous identity,,0
2017,New Brunswick,Male,Non-Indigenous identity,,1.94
2017,New Brunswick,Female,Total,,0.78
2017,New Brunswick,Female,Indigenous identity,,0
2017,New Brunswick,Female,Non-Indigenous identity,,0.81
2017,Quebec,All genders,Total,24,1.12
2017,Quebec,All genders,Indigenous identity,,5.74
2017,Quebec,All genders,Non-Indigenous identity,,1
2017,Quebec,Male,Total,,1.5
2017,Quebec,Male,Indigenous identity,,7.52
2017,Quebec,Male,Non-Indigenous identity,,1.34
2017,Quebec,Female,Total,,0.7
2017,Quebec,Female,Indigenous identity,,3.89
2017,Quebec,Female,Non-Indigenous identity,,0.62
2017,Ontario,All genders,Total,35,1.41
2017,Ontario,All genders,Indigenous identity,,4.79
2017,Ontario,All genders,Non-Indigenous identity,,1.27
2017,Ontario,Male,Total,,2.14
2017,Ontario,Male,Indigenous identity,,7.84
2017,Ontario,Male,Non-Indigenous identity,,1.92
2017,Ontario,Female,Total,,0.7
2017,Ontario,Female,Indigenous identity,,1.87
2017,Ontario,Female,Non-Indigenous identity,,0.64
2017,Manitoba,All genders,Total,46,3.53
2017,Manitoba,All genders,Indigenous identity,,11.89
2017,Manitoba,All genders,Non-Indigenous identity,,1.56
2017,Manitoba,Male,Total,,5.72
2017,Manitoba,Male,Indigenous identity,,19.97
2017,Manitoba,Male,Non-Indigenous identity,,2.39
2017,Manitoba,Female,Total,,1.35
2017,Manitoba,Female,Indigenous identity,,4.04
2017,Manitoba,Female,Non-Indigenous identity,,0.74
2017,Saskatchewan,All genders,Total,47,3.31
2017,Saskatchewan,All genders,Indigenous identity,,15.74
2017,Saskatchewan,All genders,Non-Indigenous identity,,0.83
2017,Saskatchewan,Male,Total,,5.01
2017,Saskatchewan,Male,Indigenous identity,,26.61
2017,Saskatchewan,Male,Non-Indigenous identity,,0.83
2017,Saskatchewan,Female,Total,,1.58
2017,Saskatchewan,Female,Indigenous identity,,5.17
2017,Saskatchewan,Female,Non-Indigenous identity,,0.84
2017,Alberta,All genders,Total,48,2.78
2017,Alberta,All genders,Indigenous identity,,14.3
2017,Alberta,All genders,Non-Indigenous identity,,1.9
2017,Alberta,Male,Total,,4.39
2017,Alberta,Male,Indigenous identity,,21.99
2017,Alberta,Male,Non-Indigenous identity,,3.07
2017,Alberta,Female,Total,,1.13
2017,Alberta,Female,Indigenous identity,,6.86
2017,Alberta,Female,Non-Indigenous identity,,0.71
2017,British Columbia,All genders,Total,59,2.42
2017,British Columbia,All genders,Indigenous identity,,3.69
2017,British Columbia,All genders,Non-Indigenous identity,,2.34
2017,British Columbia,Male,Total,,3.74
2017,British Columbia,Male,Indigenous identity,,4.12
2017,British Columbia,Male,Non-Indigenous identity,,3.72
2017,British Columbia,Female,Total,,1.13
2017,British Columbia,Female,Indigenous identity,,3.28
2017,British Columbia,Female,Non-Indigenous identity,,0.99
2017,Yukon,All genders,Total,60,20.65
2017,Yukon,All genders,Indigenous identity,,66.96
2017,Yukon,All genders,Non-Indigenous identity,,6.72
2017,Yukon,Male,Total,,30.51
2017,Yukon,Male,Indigenous identity,,91.22
2017,Yukon,Male,Non-Indigenous identity,,13.09
2017,Yukon,Female,Total,,10.48
2017,Yukon,Female,Indigenous identity,,43.72
2017,Yukon,Female,Non-Indigenous identity,,0
2017,Northwest Territories,All genders,Total,61,4.44
2017,Northwest Territories,All genders,Indigenous identity,,8.81
2017,Northwest Territories,All genders,Non-Indigenous identity,,0
2017,Northwest Territories,Male,Total,,8.68
2017,Northwest Territories,Male,Indigenous identity,,17.58
2017,Northwest Territories,Male,Non-Indigenous identity,,0
2017,Northwest Territories,Female,Total,,0
2017,Northwest Territories,Female,Indigenous identity,,0
2017,Northwest Territories,Female,Non-Indigenous identity,,0
2017,Nunavut,All genders,Total,62,15.97
2017,Nunavut,All genders,Indigenous identity,,15.44
2017,Nunavut,All genders,Non-Indigenous identity,,19.28
2017,Nunavut,Male,Total,,20.86
2017,Nunavut,Male,Indigenous identity,,18.28
2017,Nunavut,Male,Non-Indigenous identity,,36.15
2017,Nunavut,Female,Total,,10.87
2017,Nunavut,Female,Indigenous identity,,12.52
2017,Nunavut,Female,Non-Indigenous identity,,0
2018,Canada,All genders,Indigenous identity,,7.47
2018,Canada,All genders,Non-Indigenous identity,,1.46
2018,Canada,Male,Total,,2.68
2018,Canada,Male,Indigenous identity,,10.34
2018,Canada,Male,Non-Indigenous identity,,2.25
2018,Canada,Female,Total,,0.89
2018,Canada,Female,Indigenous identity,,4.67
2018,Canada,Female,Non-Indigenous identity,,0.68
2018,Newfoundland and Labrador,All genders,Total,10,0.38
2018,Newfoundland and Labrador,All genders,Indigenous identity,,0
2018,Newfoundland and Labrador,All genders,Non-Indigenous identity,,0.21
2018,Newfoundland and Labrador,Male,Total,,0.77
2018,Newfoundland and Labrador,Male,Indigenous identity,,0
2018,Newfoundland and Labrador,Male,Non-Indigenous identity,,0.42
2018,Newfoundland and Labrador,Female,Total,,0
2018,Newfoundland and Labrador,Female,Indigenous identity,,0
2018,Newfoundland and Labrador,Female,Non-Indigenous identity,,0
2018,Prince Edward Island,All genders,Total,11,0
2018,Prince Edward Island,All genders,Indigenous identity,,0
2018,Prince Edward Island,All genders,Non-Indigenous identity,,0
2018,Prince Edward Island,Male,Total,,0
2018,Prince Edward Island,Male,Indigenous identity,,0
2018,Prince Edward Island,Male,Non-Indigenous identity,,0
2018,Prince Edward Island,Female,Total,,0
2018,Prince Edward Island,Female,Indigenous identity,,0
2018,Prince Edward Island,Female,Non-Indigenous identity,,0
2018,Nova Scotia,All genders,Total,12,1.16
2018,Nova Scotia,All genders,Indigenous identity,,0
2018,Nova Scotia,All genders,Non-Indigenous identity,,1.24
2018,Nova Scotia,Male,Total,,1.51
2018,Nova Scotia,Male,Indigenous identity,,0
2018,Nova Scotia,Male,Non-Indigenous identity,,1.61
2018,Nova Scotia,Female,Total,,0.83
2018,Nova Scotia,Female,Indigenous identity,,0
2018,Nova Scotia,Female,Non-Indigenous identity,,0.88
2018,New Brunswick,All genders,Total,13,1.7
2018,New Brunswick,All genders,Indigenous identity,,2.99
2018,New Brunswick,All genders,Non-Indigenous identity,,1.64
2018,New Brunswick,Male,Total,,1.32
2018,New Brunswick,Male,Indigenous identity,,0
2018,New Brunswick,Male,Non-Indigenous identity,,1.38
2018,New Brunswick,Female,Total,,2.07
2018,New Brunswick,Female,Indigenous identity,,6.05
2018,New Brunswick,Female,Non-Indigenous identity,,1.89
2018,Quebec,All genders,Total,24,1
2018,Quebec,All genders,Indigenous identity,,2.31
2018,Quebec,All genders,Non-Indigenous identity,,0.97
2018,Quebec,Male,Total,,1.58
2018,Quebec,Male,Indigenous identity,,2.73
